GO Categories,Gene Symbol,Normals_NB.MYCN.A_logFC_mean,Normals_NB.MYCN.NA_logFC_mean,Normals_NB.Unknown_logFC_mean,Normals_NB.MYCN.A_PValue_mean,Normals_NB.MYCN.NA_PValue_mean,Normals_NB.Unknown_PValue_mean,Normals_NB.MYCN.A_FDR_mean,Normals_NB.MYCN.NA_FDR_mean,Normals_NB.Unknown_FDR_mean
GO:0015705:iodide transport,"ANO1, KCNQ1, MFSD8, SLC26A4, SLC26A7, SLC5A5, SLC5A8, TG",-2.01495769,-1.797945392,-2.030186936,0.030654566,0.012577399,0.008505635,0.061087435,0.023800397,0.034202886
GO:0015706:nitrate transmembrane transport,"AQP6, SLC26A7, SLC5A8",-3.903498519,-3.668737431,-3.943500961,4.57E-07,1.55E-08,0.008599816,2.47E-06,6.76E-08,0.04093849
GO:0015707:nitrite transport,SLC11A1,-1.638924604,-0.455622387,-1.704507102,3.54E-05,0.20550422,0.037694043,0.00015021,0.356414792,0.140284925
GO:0015709:thiosulfate transport,SLC25A11,-1.182221743,-1.194908376,-0.731735328,1.09E-08,9.60E-21,0.102471837,7.76E-08,1.08E-19,0.304688299
GO:0015711:organic anion transport,"ABCC11, ABCG2, SLC17A3, SLC19A1, SLC22A10, SLC22A11, SLC22A12, SLC22A3, SLC22A6, SLC22A7, SLCO1A2, SLCO1B1, SLCO1B3, SLCO2B1",-4.981027231,-4.765106353,-5.715098342,0.025365422,0.01503755,0.122689366,0.049051694,0.027336768,0.224581474
GO:0015718:monocarboxylic acid transport,"SLC16A1, SLC16A10, SLC16A11, SLC16A13, SLC16A14, SLC16A2, SLC16A3, SLC16A4, SLC16A5, SLC16A6, SLC16A8, SLC16A9, SLC22A3, SLC5A12, SLC6A11, SLC6A12, SLC6A13",-1.538083881,-1.538480931,-1.660607287,0.09179367,0.046335673,0.081840999,0.138509418,0.071325644,0.186920413
GO:0015721:bile acid and bile salt transport,"ABCB11, ABCC11, ABCC2, ABCC3, ABCC4, ABCD3, ATP8B1, NR0B2, SLC10A1, SLC10A2, SLC10A3, SLC10A4, SLC27A5, SLC51A, SLCO1A2, SLCO1B1, SLCO1B3, SLCO1C1, SLCO2B1",-2.169675323,-2.965186591,-3.701017983,0.049245819,0.015397576,0.136701323,0.097048001,0.027850972,0.243395351
GO:0015722:canalicular bile acid transport,"ABCB11, AQP9",-1.713219983,-3.308657823,-4.625728901,0.100190585,1.35E-08,0.014130184,0.203447797,6.11E-08,0.063125524
GO:0015723:bilirubin transport,ABCC2,-2.184072036,-3.005215559,-3.996236822,3.24E-06,3.90E-26,0.000287303,1.62E-05,6.19E-25,0.002687194
GO:0015724:formate transport,SLC26A6,-0.62835218,-0.805518951,-1.466967254,0.000804241,6.14E-10,2.41E-05,0.002718646,3.16E-09,0.00033465
GO:0015727:lactate transport,"SLC16A8, SLC5A8",-2.454044891,-2.213482298,-1.792554519,0.00223599,1.24E-06,0.004493374,0.006527465,4.60E-06,0.022678884
GO:0015728:mevalonate transport,SLC16A1,-0.185751274,-1.521557354,-0.943041041,0.437459149,1.61E-21,0.053047033,0.710350514,1.92E-20,0.182314036
GO:0015729:oxaloacetate transport,"SLC13A5, SLC25A11",-2.002428688,-2.216303348,-4.021919366,0.000839823,1.02E-08,0.034730066,0.002738364,4.66E-08,0.105975814
GO:0015730:propanoate transmembrane transport,SLC5A8,-5.544997773,-5.415781487,-5.228113804,2.02E-07,1.23E-20,0.008957255,1.20E-06,1.37E-19,0.044963679
GO:0015732:prostaglandin transport,"ABCC4, SLC22A1, SLC22A11, SLC22A2, SLC22A6, SLC22A7, SLC22A8, SLCO1B1, SLCO2A1, SLCO2B1, SLCO3A1, SLCO4A1",-3.958697004,-4.160593179,-4.490062998,0.18433274,0.007674418,0.107400964,0.261876877,0.014479883,0.205806475
GO:0015734:taurine transmembrane transport,"LRRC8A, LRRC8C, LRRC8D, SLC16A6, SLC6A11, SLC6A13, SLC6A6",-0.371321987,-0.740669506,-0.648875362,0.479719584,0.011237688,0.240839175,0.674417359,0.022452302,0.514758346
GO:0015739:sialic acid transport,SLC17A5,-1.585564728,-1.076897224,-0.132980927,2.43E-19,9.54E-16,0.657655748,6.40E-18,7.64E-15,1
GO:0015741:fumarate transport,"SLC13A2, SLC13A5",-5.14229998,-4.734963086,-6.26991127,0.000629885,7.67E-09,0.008097611,0.002053884,3.50E-08,0.037824233
GO:0015742:alpha-ketoglutarate transport,"SLC13A2, SLC13A3, SLC13A5, SLC22A6, SLC22A7, SLC25A11",-5.656803809,-5.310839655,-6.234182123,0.000179992,2.19E-09,0.024857034,0.000586986,9.99E-09,0.086391898
GO:0015744:succinate transport,SLC13A5,-2.412532161,-2.727000834,-5.667011385,0.00125973,1.53E-08,0.000859181,0.004107507,6.99E-08,0.006619572
GO:0015746:citrate transport,"SFXN5, SLC13A3, SLC13A5",-2.622552507,-2.976456434,-4.616679458,0.000629865,7.67E-09,0.001137307,0.002053754,3.50E-08,0.007773205
GO:0015747:urate transport,"ABCC4, ABCG2, SLC17A1, SLC17A2, SLC17A3, SLC17A4, SLC22A12, SLC22A13, SLC23A1, SLC2A9, UMOD",-5.442263791,-5.806240389,-7.083029562,0.014848681,2.02E-05,0.04314902,0.032296646,6.01E-05,0.135988306
GO:0015749:monosaccharide transmembrane transport,"SLC2A11, SLC2A9",-1.279107469,-0.972411558,-1.3463007,0.06452343,0.293473955,0.018891312,0.130386422,0.42827785,0.073072981
GO:0015750:pentose transmembrane transport,"SLC5A1, SLC5A3",-2.973433672,-3.413937254,-0.519453371,0.048870941,0.155678104,0.245447988,0.102832528,0.255138988,0.578623577
GO:0015755:fructose transmembrane transport,"SLC26A5, SLC2A11, SLC2A2, SLC2A3, SLC2A5, SLC2A6, SLC2A8, SLC2A9, SLC5A10",-1.936924384,-1.699159638,-2.448462382,0.054923292,0.060860728,0.075183924,0.10123106,0.090657947,0.157092867
GO:0015756:fucose transmembrane transport,"SLC5A1, SLC5A3",-2.973433672,-3.413937254,-0.519453371,0.048870941,0.155678104,0.245447988,0.102832528,0.255138988,0.578623577
GO:0015757:galactose transmembrane transport,"SLC2A10, SLC2A2, SLC2A3, SLC45A1, SLC5A1",-2.650261272,-3.066835433,-2.85922941,0.033336479,0.003157049,0.151596098,0.071502675,0.007199884,0.353254074
GO:0015760:glucose-6-phosphate transport,"G6PC3, SLC17A3, SLC37A1, SLC37A2, SLC37A3, SLC37A4",-0.499476221,-0.555291,-0.486441016,0.415419253,0.090590178,0.057568962,0.517577754,0.144478671,0.171652892
GO:0015761:mannose transmembrane transport,SLC5A10,-2.727697519,-2.963602804,-4.986706169,6.91E-07,1.25E-23,0.000527716,3.81E-06,1.70E-22,0.004455387
GO:0015770:sucrose transport,"SLC45A1, SLC45A2, SLC45A3, SLC45A4",-0.838348304,-0.387423956,-0.838687252,0.228235428,0.132467352,0.196197668,0.313550178,0.197684433,0.44717978
GO:0015774:polysaccharide transport,SMPD3,2.292982785,2.230849532,2.879676762,8.90E-25,3.09E-29,5.18E-16,4.31E-23,5.92E-28,9.15E-14
GO:0015779:glucuronoside transport,ABCC3,-1.790519858,-1.875545096,-2.350590066,0.000270169,4.03E-12,0.009069466,0.000991129,2.47E-11,0.045398614
GO:0015780:nucleotide-sugar transmembrane transport,"SLC35D1, SLC35D2",-1.266518351,-0.979753311,-1.12931116,1.57E-07,5.61E-05,0.005260725,9.09E-07,0.000173774,0.029283951
GO:0015782:CMP-N-acetylneuraminate transmembrane transport,SLC35A1,-0.737857252,-0.462274452,-0.401645904,2.41E-10,1.30E-07,0.077241196,2.13E-09,5.48E-07,0.244882516
GO:0015783:GDP-fucose transmembrane transport,"SLC35D1, SLC35D2",-1.266518351,-0.979753311,-1.12931116,1.57E-07,5.61E-05,0.005260725,9.09E-07,0.000173774,0.029283951
GO:0015786:UDP-glucose transmembrane transport,"SLC35C2, SLC35D3",0.387436158,0.829565967,2.234750183,0.179634326,0.004743218,0.016877435,0.345558568,0.011187582,0.064350455
GO:0015787:UDP-glucuronic acid transmembrane transport,"SLC35D1, SLC35D2",-1.266518351,-0.979753311,-1.12931116,1.57E-07,5.61E-05,0.005260725,9.09E-07,0.000173774,0.029283951
GO:0015789:UDP-N-acetylgalactosamine transmembrane transport,"SLC35D1, SLC35D2",-1.266518351,-0.979753311,-1.12931116,1.57E-07,5.61E-05,0.005260725,9.09E-07,0.000173774,0.029283951
GO:0015790:UDP-xylose transmembrane transport,SLC35B4,0.694475153,0.81635593,1.140199861,3.05E-05,5.28E-12,0.000139027,0.000131068,3.21E-11,0.001474136
GO:0015791:polyol transmembrane transport,"SLC5A11, SLC5A3",-1.359357191,-1.407697572,-1.41856946,0.048870941,0.155678104,0.09947388,0.102832529,0.255138988,0.259581688
GO:0015793:glycerol transmembrane transport,"AQP1, AQP10, AQP11, AQP2, AQP3, AQP7, AQP9",-2.69263148,-2.750131492,-3.40471092,0.011911307,0.009847073,0.213032025,0.027899803,0.019410315,0.290025486
GO:0015797:mannitol transmembrane transport,SLC26A6,-0.62835218,-0.805518951,-1.466967254,0.000804241,6.14E-10,2.41E-05,0.002718646,3.16E-09,0.00033465
GO:0015798:myo-inositol transport,"SLC2A13, SLC5A1, SLC5A11, SLC5A3",-1.92218632,-1.85805631,-0.774996483,0.029322565,0.093406862,0.332587986,0.061699517,0.153083393,0.619557391
GO:0015801:aromatic amino acid transport,"SLC16A10, SLC6A14",-4.477889539,-4.276370714,-4.049111394,0.000239299,2.25E-11,0.024674547,0.000860282,1.28E-10,0.099941824
GO:0015802:basic amino acid transport,SLC3A1,-5.232089526,-5.795306397,-6.370383585,3.28E-17,2.31E-90,4.56E-05,6.69E-16,8.02E-88,0.000571325
GO:0015803:branched-chain amino acid transport,"SLC25A44, SLC38A9, SLC6A14",-2.616489806,-2.225492308,-1.641539785,0.349910937,0.003056992,0.018890258,0.500923927,0.007419886,0.068446296
GO:0015804:neutral amino acid transport,"SLC1A3, SLC1A5, SLC1A6, SLC1A7, SLC38A1, SLC38A4, SLC38A5, SLC43A1, SLC43A2, SLC6A15, SLC6A17, SLC6A19, SLC7A10, SLC7A5, SLC7A6, SLC7A8, SLC7A9",-0.976016583,-1.239230898,-1.726881134,0.059937563,0.033691871,0.129841802,0.103402874,0.048442721,0.182679684
GO:0015805:S-adenosyl-L-methionine transport,SLC25A26,-0.516976449,-0.76477031,-0.299719674,0.000208942,9.12E-16,0.289625299,0.000781157,7.31E-15,0.657198088
GO:0015807:L-amino acid transport,SLC7A1,1.939706517,1.371686312,1.72487254,4.29E-20,6.54E-21,9.34E-08,1.24E-18,7.45E-20,2.73E-06
GO:0015808:L-alanine transport,"SFXN1, SLC1A4, SLC38A3",-0.77044695,-0.976404755,-1.025455139,0.087109872,0.008618835,0.107934533,0.170439915,0.018603201,0.249420964
GO:0015810:aspartate transmembrane transport,"LRRC8A, LRRC8B, LRRC8C, LRRC8D, LRRC8E, SLC1A6, SLC25A18, SLC25A22, SLC3A1, SLC7A13",-1.877562778,-2.220943663,-2.275210219,0.158325157,0.008831981,0.050850379,0.258393364,0.017516414,0.149047587
GO:0015811:L-cystine transport,"CTNS, SLC1A4, SLC3A1, SLC7A11, SLC7A13, SLC7A9",-1.756951863,-1.612383555,-1.601966873,0.323814925,0.057488244,0.052071374,0.435899953,0.103020715,0.118809132
GO:0015812:gamma-aminobutyric acid transport,"SLC32A1, SLC6A12, SLC6A8",-1.404147262,-1.159162002,0.651455601,0.146335724,0.022944379,0.088445787,0.250614332,0.047092219,0.26493075
GO:0015813:L-glutamate transmembrane transport,"ARL6IP5, SLC17A6, SLC17A7, SLC17A8, SLC1A1, SLC1A2, SLC1A3, SLC1A4, SLC1A6, SLC1A7, SLC25A18, SLC25A22, SLC38A6, SLC3A1, SLC7A11, SLC7A13, TTYH1",-1.960390447,-1.927095318,-1.893699694,0.025917213,0.049217293,0.100086742,0.055678792,0.076200988,0.213409243
GO:0015816:glycine transport,"SLC32A1, SLC38A1, SLC38A5, SLC6A17, SLC6A20, SLC6A9, SLC7A10, SLC7A8",-1.478412421,-1.459181612,-0.787170088,0.112050853,0.016961204,0.178418749,0.191454694,0.034471023,0.255689139
GO:0015817:histidine transport,"SLC15A4, SLC38A3",-1.953182355,-2.552673881,-2.885000602,0.252660516,8.77E-06,0.227542992,0.333338441,2.92E-05,0.337307001
GO:0015818:isoleucine transport,"SLC3A2, SLC43A1, SLC43A2, SLC7A5",-0.067598,-0.639834938,-0.751617865,0.056178437,0.001833867,0.171286577,0.100535496,0.004395627,0.267300493
GO:0015819:lysine transport,SLC7A1,1.939706517,1.371686312,1.72487254,4.29E-20,6.54E-21,9.34E-08,1.24E-18,7.45E-20,2.73E-06
GO:0015820:L-leucine transport,"SLC3A2, SLC43A1, SLC43A2, SLC6A15, SLC6A17, SLC7A5, SLC7A6, SLC7A7, SLC7A8",-0.118645476,-0.251741641,-0.071572688,0.022477102,0.065232587,0.343559248,0.041266697,0.097505211,0.437631528
GO:0015821:methionine transport,"SLC3A2, SLC43A2, SLC7A5",0.906020513,0.807843337,0.58823078,0.093629548,0.003056445,0.285354182,0.167553057,0.007326045,0.444257826
GO:0015822:ornithine transport,"SLC7A1, SLC7A6",1.246319869,0.708340075,0.834838877,0.000609536,0.359251511,0.449875227,0.001992828,0.5,0.500001367
GO:0015823:phenylalanine transport,"SLC16A10, SLC3A2, SLC43A2, SLC7A5",0.601724237,0.468469537,0.24735578,0.070387299,0.003376929,0.312160708,0.126227113,0.008066326,0.472365693
GO:0015824:proline transport,"SLC1A4, SLC3A2, SLC6A15, SLC6A17, SLC6A20, SLC6A7, SLC7A5",-1.292081128,-0.724980575,-0.915202579,0.024615702,0.013372584,0.2942083,0.04746401,0.027288558,0.364552207
GO:0015825:L-serine transport,"SERINC3, SFXN1, SFXN3, SLC1A4, SLC1A5, SLC38A5, SLC7A10",-0.024271287,-0.489638604,-0.388004827,0.22509432,0.104362641,0.265873766,0.397263834,0.131987953,0.376208884
GO:0015826:threonine transport,SLC1A4,0.257310678,0.774223284,0.876560595,0.211450277,1.98E-06,0.010252631,0.39737234,7.42E-06,0.050179069
GO:0015827:tryptophan transport,"ACE2, SLC16A10, SLC3A2, SLC7A5, SLC7A8",-0.919047736,-1.034774675,-1.396829785,0.000380545,0.002892253,0.259838115,0.001284451,0.006858111,0.365387773
GO:0015828:tyrosine transport,"SLC16A10, SLC3A2, SLC7A5",0.582116063,0.140639003,-0.190348674,0.000440369,0.002892253,0.267397981,0.001499521,0.006858111,0.396127566
GO:0015829:valine transport,"SLC3A2, SLC7A5, SLC7A8",-0.006600113,-0.026951576,-0.403265805,0.00032072,0.002892253,0.257954083,0.001069381,0.006858111,0.359615835
GO:0015833:peptide transport,"ABCB8, ABCB9, DISP1, TAP1",-0.050141115,0.277011355,0.310989956,0.006279894,9.19E-05,0.320852177,0.016631616,0.000274703,0.462026654
GO:0015835:peptidoglycan transport,"SLC15A2, SLC15A3, SLC15A4",-0.997643993,-0.417667038,-0.723037941,0.503861834,9.24E-06,0.227087596,0.666666667,3.10E-05,0.333834828
GO:0015837:amine transport,"AQP9, RHCG, SLC22A16, SLC22A2",-3.443639395,-4.252244819,-3.584337694,0.05732732,0.050252813,0.009677952,0.105749827,0.087386592,0.03871736
GO:0015838:amino-acid betaine transport,"SLC22A15, SLC6A20",-2.066860978,-1.526352253,-1.398647221,0.363708534,0.033319884,0.093094248,0.5,0.065924647,0.257672115
GO:0015840:urea transport,"AQP11, AQP8, SLC14A1, SLC14A2, UPK3A",-4.205095402,-3.887628497,-4.026780313,0.007056009,0.013785511,0.172137935,0.016831289,0.027172975,0.245706708
GO:0015842:aminergic neurotransmitter loading into synaptic vesicle,"SLC18A1, SLC18A2",1.95433902,4.2270914,2.747306903,0.366212948,1.21E-23,0.000155849,0.500000546,1.61E-22,0.00144003
GO:0015843:methylammonium transport,AQP8,-7.12307435,-6.665666313,-8.046888176,2.33E-16,1.17E-73,0.000885224,4.26E-15,2.01E-71,0.006787406
GO:0015844:monoamine transport,"SLC18A1, SLC18A2, SLC22A1, SLC22A3, SLC29A4, SLC6A2, SLC6A3, SLC6A4",0.374668031,0.988558394,-0.152122725,0.091556751,3.04E-07,0.000571925,0.125016053,1.13E-06,0.003602438
GO:0015847:putrescine transport,"ATP13A3, SLC22A1, SLC22A2, SLC47A1",-3.443810586,-4.344606556,-4.701254401,0.094388841,0.000806371,0.144409241,0.158879887,0.002047519,0.253041747
GO:0015848:spermidine transport,"SLC18B1, SLC22A1, SLC22A2, SLC22A3",-3.994843073,-4.713179968,-4.922354058,3.98E-06,2.33E-19,0.011535993,1.79E-05,2.33E-18,0.041448106
GO:0015851:nucleobase transport,"SLC23A1, SLC29A1, SLC29A2, SLC29A3",-0.782029455,-1.174619787,-1.445571304,0.144844082,0.000812986,0.082947022,0.223110787,0.002062551,0.181681414
GO:0015853:adenine transport,"SLC25A4, SLC29A1, SLC29A2, SLC43A3",-1.030586994,-1.447028035,-1.592069789,0.116002511,0.000680881,0.103624521,0.178946161,0.001742889,0.240456501
GO:0015854:guanine transport,SLC29A2,-1.195937419,-2.508115538,-2.860896837,0.000162914,8.04E-26,0.000125489,0.000620895,1.25E-24,0.00134776
GO:0015855:pyrimidine nucleobase transport,"AQP9, SLC28A2, SLC28A3",-3.278292964,-3.680832101,-4.182368433,0.000165382,7.18E-22,0.000940177,0.000580414,8.47E-21,0.00667586
GO:0015858:nucleoside transport,"SLC29A1, SLC29A2, SLC29A3",0.239526469,-0.146556318,-0.064618577,0.144844092,0.000812997,0.082992442,0.223110857,0.002062603,0.182045365
GO:0015860:purine nucleoside transmembrane transport,"SLC25A26, SLC28A2, SLC28A3, SLC29A1, SLC29A2",-1.445766728,-1.737123808,-1.954763303,0.165565936,0.000929113,0.136115016,0.255095308,0.002357142,0.300963956
GO:0015861:cytidine transport,"SLC29A1, SLC29A2, SLC29A3",-0.021682789,-0.447150611,-0.465139357,0.193125442,0.001083981,0.110545503,0.297481049,0.002750068,0.241713963
GO:0015862:uridine transmembrane transport,"SLC28A2, SLC28A3, SLC29A1, SLC29A2, SLC29A3",-1.059062699,-1.27855408,-1.489768085,0.217245753,0.001219466,0.124336354,0.334588532,0.003093774,0.271667967
GO:0015864:pyrimidine nucleoside transport,SLC28A3,-3.537333214,-3.4885355,-4.414341855,3.97E-08,1.70E-25,0.000367482,2.62E-07,2.61E-24,0.003308403
GO:0015865:purine nucleotide transport,"ABCC11, ABCC5",0.045128928,-0.467352121,-0.649888635,0.008033981,8.94E-07,0.326566086,0.020800111,3.36E-06,0.661006407
GO:0015866:ADP transport,"SLC17A9, SLC25A4",-2.566444932,-2.28622472,-2.876944109,6.04E-05,1.31E-08,0.000998297,0.000235176,5.85E-08,0.00721523
GO:0015867:ATP transport,"ABCC6, CALHM3, PANX1, SLC17A9",-1.090633985,-0.887881261,-1.697799175,0.056796548,0.044230395,0.003087804,0.104235713,0.074039949,0.017702257
GO:0015868:purine ribonucleotide transport,GJB1,-3.063325764,-5.245921008,-2.641133795,0.010387775,1.41E-12,0.116363595,0.028084607,8.94E-12,0.33569269
GO:0015870:acetylcholine transport,"SLC22A1, SLC22A2",-5.624628265,-7.326859923,-7.944952188,7.96E-06,3.45E-49,0.000128867,3.58E-05,1.94E-47,0.001369932
GO:0015871:choline transport,"PSEN1, SLC22A2, SLC44A1, SLC44A2, SLC44A3, SLC44A4, SLC44A5, SLC5A7",-1.900677693,-2.139463185,-1.785370511,0.168919576,0.086151518,0.030003253,0.204367776,0.12105666,0.089188167
GO:0015872:dopamine transport,"CHRM5, DRD1, SLC18A2, SLC22A1, SLC22A2, SLC22A3, SLC29A3, SLC29A4, SLC6A3",-2.014431723,-1.82331642,-2.195095172,0.155189553,0.056858346,0.007262179,0.200012761,0.083507092,0.025297044
GO:0015874:norepinephrine transport,"SLC22A1, SLC22A2, SLC22A3, SLC29A3, SLC29A4, SLC6A2, SLC6A3",-0.460374887,-0.497309027,-1.123400991,4.02E-06,3.54E-07,0.000674878,1.82E-05,1.32E-06,0.004311235
GO:0015878:biotin transport,"ABCG2, SLC5A6",0.563571222,0.315337929,0.52822361,7.42E-14,1.20E-14,0.000838258,9.44E-13,8.49E-14,0.005089865
GO:0015879:carnitine transport,"SLC22A16, SLC22A4, SLC22A5",-0.256252193,-0.123882331,0.081210287,0.091706392,0.174268312,0.137577859,0.16915679,0.282814076,0.203930809
GO:0015881:creatine transmembrane transport,"SLC16A9, SLC6A13, SLC6A8",-1.774556042,-1.805424534,-2.725691645,0.243178685,5.88E-08,0.014287865,0.388299124,2.48E-07,0.058144031
GO:0015882:L-ascorbic acid transmembrane transport,"SLC23A1, SLC23A2",-1.342889804,-1.504673755,-2.065790174,0.018507796,0.002834878,0.198639459,0.043748053,0.006925219,0.410487842
GO:0015884:folic acid transport,"FOLR1, PDPN, SLC19A1, SLC19A2, SLC46A1",-0.894513019,-1.137743465,-0.955067016,0.233516031,0.242451209,0.236090729,0.285720692,0.285737792,0.319640242
GO:0015886:heme transport,"ABCB6, FLVCR1, PGRMC2, SLC46A1, SLC48A1",-0.023059743,0.021846181,-0.063605558,0.090811483,0.097018881,0.317446116,0.111112402,0.117623208,0.573179076
GO:0015887:pantothenate transmembrane transport,SLC5A6,1.526214408,1.00609744,1.226124352,7.43E-29,5.25E-21,1.21E-07,5.64E-27,6.03E-20,3.43E-06
GO:0015888:thiamine transport,"SLC19A2, SLC19A3, SLC22A1, SLC35F3",-1.350016694,-2.185311567,-2.216213767,0.118013301,0.013159312,0.122243548,0.194394324,0.026346494,0.228066437
GO:0015889:cobalamin transport,"ABCC1, ABCD4, AMN, CD320, CUBN, LRP2",-1.49684975,-1.767453142,-2.027990202,0.000307915,0.126918819,0.128981137,0.001027933,0.164659696,0.299407279
GO:0015891:siderophore transport,SLC22A17,0.696623084,1.43561229,1.577724595,0.013645192,1.77E-11,0.000547572,0.035887639,1.03E-10,0.004584172
GO:0015904:tetracycline transmembrane transport,MFSD10,1.818519657,1.317950117,0.659065331,2.27E-27,3.05E-20,0.007255146,1.48E-25,3.32E-19,0.038037341
GO:0015908:fatty acid transport,"ACSL1, FABP2, KCNJ8, MFSD2A, PPARD, SLC27A3, SLC43A3",-1.469338436,-1.524068174,-1.663093269,0.00296409,0.000826056,0.090187839,0.008549288,0.001993264,0.245437359
GO:0015909:long-chain fatty acid transport,"APOE, CD36, FABP2, MFSD2A, PPARG, SLC27A6",-3.237544072,-3.183265431,-3.029235348,0.000896604,0.016700204,0.114147157,0.002629086,0.031490611,0.237478269
GO:0015910:long-chain fatty acid import into peroxisome,"ABCD1, ABCD2, ABCD3, ABCD4",-0.718175767,-0.625541953,-0.538373095,0.0347493,0.303061348,0.333884207,0.065982111,0.333357299,0.569246318
GO:0015911:long-chain fatty acid import across plasma membrane,"CD36, SLC27A5, SLC2A1",-1.31350262,-1.701921248,-1.78966493,0.231873265,0.097107936,0.067576231,0.333573118,0.160535938,0.177150119
GO:0015912:short-chain fatty acid transport,CD36,-2.456868581,-3.019435651,-3.398519986,2.87E-08,5.17E-34,0.00016522,1.93E-07,1.31E-32,0.00170203
GO:0015914:phospholipid transport,"ABCA3, ABCG8, C2CD2L, ESYT1, LDLR, MTTP, OSBPL5, OSBPL8, SCARB1, VAPA",-0.449274215,-0.622462388,-0.82930509,0.185164863,0.095518859,0.117587901,0.303703166,0.152006126,0.278923708
GO:0015916:fatty-acyl-CoA transport,ABCD1,-0.689146021,-0.01176756,-0.171580419,0.000318783,0.909162021,0.647636371,0.001155713,1,1
GO:0015917:aminophospholipid transport,"ATP11B, SCARB2, TMEM30A, TMEM30B",-1.474130253,-1.423860928,-0.317048244,3.39E-08,0.003650772,0.218962431,2.11E-07,0.008292857,0.467689089
GO:0015918:sterol transport,"ABCG5, ABCG8, MTTP, TSPO, VAPA",-2.245696374,-2.565008874,-3.219149985,0.000135198,1.80E-05,0.050433552,0.000476537,5.63E-05,0.141554438
GO:0015919:peroxisomal membrane transport,ABCD1,-0.689146021,-0.01176756,-0.171580419,0.000318783,0.909162021,0.647636371,0.001155713,1,1
GO:0015920:lipopolysaccharide transport,SCARB1,-0.439473762,-0.568188422,-1.367332615,0.18366894,0.037373702,0.044995855,0.35279542,0.078142211,0.160360859
GO:0015923:mannosidase activity,MAN1A1,-2.555155503,-2.606895381,-2.506161185,2.06E-18,1.64E-45,6.55E-07,4.86E-17,7.64E-44,1.53E-05
GO:0015931:nucleobase-containing compound transport,SLC35E3,0.630075194,0.243483971,0.585626848,0.000376923,0.007914236,0.004831788,0.001350514,0.018884259,0.027394866
GO:0015936:coenzyme A metabolic process,HMGCR,0.422879713,0.38954112,0.652080239,0.04882615,0.009611555,0.059525108,0.111798213,0.022600668,0.19989727
GO:0015937:coenzyme A biosynthetic process,DCAKD,1.292672151,1.359801851,1.080631786,1.42E-26,1.28E-41,1.76E-08,8.46E-25,4.82E-40,6.15E-07
GO:0015938:coenzyme A catabolic process,VNN1,-1.721002629,-2.72314373,-2.653961772,0.007622616,5.99E-15,0.019744853,0.021262124,4.52E-14,0.0844259
GO:0015939:pantothenate metabolic process,"VNN1, VNN2",-2.513600579,-2.733511214,-2.110002313,0.003811308,2.99E-15,0.027134521,0.010631062,2.26E-14,0.107711202
GO:0015986:proton motive force-driven ATP synthesis,ATP6V0C,0.831045905,1.385414341,1.715478348,2.12E-07,2.67E-26,2.71E-11,1.26E-06,4.30E-25,1.75E-09
GO:0016004:phospholipase activator activity,"LCK, SRC",-0.308632855,0.004382447,-0.172807158,0.005804668,0.062075662,0.246931069,0.016358185,0.114803565,0.578964139
GO:0016010:dystrophin-associated glycoprotein complex,"CAV3, DAG1, SGCA, SGCB, SGCD, SNTB1, SSPN",-3.669419855,-3.630704559,-3.602654271,6.97E-05,0.000250379,0.172033679,0.000244919,0.000662456,0.284792151
GO:0016011:dystroglycan complex,DAG1,-1.160926983,-0.924135373,-0.147602152,3.23E-15,2.22E-09,0.645715469,5.17E-14,1.09E-08,1
GO:0016012:sarcoglycan complex,"SGCA, SGCB, SGCD, SGCG",-3.921756609,-3.935298195,-3.821103927,0.000122013,0.000438163,0.139629793,0.000428608,0.001159295,0.248362069
GO:0016015:morphogen activity,"GREM1, NBL1, SHH",-2.943563271,-2.408580572,-2.763340992,5.61E-07,2.30E-08,0.025082585,3.02E-06,1.01E-07,0.093918652
GO:0016019:peptidoglycan immune receptor activity,CD14,-0.050700667,0.794211355,0.496434634,0.871708912,0.00287059,0.264959933,1,0.007348033,0.616619769
